logged_at,run_name,epoch,time,train_box_loss,train_class_loss,train_dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val_box_loss,val_class_loss,val_dfl_loss,lr/pg0,lr/pg1,lr/pg2,loss,val_loss,box_loss,class_loss,dfl_loss,stage,lr,checkpoint,train_source,batch,imgsz,notes
2026-03-24T19:13:18,L1,1,425.402,1.49322,4.25942,0.03122,0.08997,0.16891,0.08029,0.04078,1.62375,3.2677,0.04449,0.000416423,0.000416423,0.000416423,1.49322,4.9359399999999996,,,,L1,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L1-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Smoke test
2026-03-25T02:29:33,L2,1,577.75,1.43297,1.72728,0.02958,0.07335,0.6872,0.07507,0.04749,1.28804,3.64438,0.03189,0.00999416,0.00333139,0.00999416,1.43297,4.96431,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,2,1014.39,1.44566,1.61305,0.02985,0.04586,0.66134,0.07172,0.03987,1.3167,3.50683,0.0326,0.0199893,0.00666309,0.0199893,1.44566,4.85613,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,3,1429.14,1.51957,1.68795,0.03192,0.16049,0.38687,0.14208,0.07889,1.52046,3.26782,0.03947,0.0299649,0.00998829,0.0299649,1.51957,4.82775,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,4,1831.46,1.58869,1.78759,0.03312,0.06482,0.90224,0.1262,0.07352,1.4486,3.06633,0.03688,0.0299341,0.00997803,0.0299341,1.58869,4.55181,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,5,2233.69,1.57723,1.6856,0.03298,0.07049,0.73409,0.10979,0.06006,1.48497,3.19875,0.03839,0.0298829,0.00996097,0.0298829,1.57723,4.72211,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,6,2636.22,1.52692,1.60356,0.03181,0.0387,0.74896,0.08084,0.04701,1.36329,3.47814,0.03498,0.0298172,0.00993906,0.0298172,1.52692,4.87641,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,7,3038.27,1.51006,1.54654,0.03148,0.0831,0.84522,0.13231,0.07817,1.40484,3.37756,0.03601,0.029737,0.00991232,0.029737,1.51006,4.81841,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,8,3440.95,1.48895,1.48262,0.03101,0.03875,0.75089,0.08271,0.04912,1.3574,3.58185,0.03377,0.0296424,0.00988079,0.0296424,1.48895,4.97302,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,9,3842.96,1.46642,1.46888,0.03044,0.06732,0.92182,0.13016,0.07649,1.32549,3.38779,0.03301,0.0295335,0.00984449,0.0295335,1.46642,4.74629,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,10,4244.9,1.44573,1.44211,0.02969,0.04746,0.7484,0.08319,0.04866,1.29076,3.64757,0.03181,0.0294104,0.00980345,0.0294104,1.44573,4.97014,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,11,4646.51,1.41813,1.38154,0.02886,0.06153,0.85559,0.09205,0.05603,1.25261,3.53654,0.03093,0.0292732,0.00975773,0.0292732,1.41813,4.82008,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,12,5051.07,1.38367,1.34705,0.02817,0.08858,0.77671,0.10495,0.06857,1.18095,3.74108,0.02928,0.0291221,0.00970736,0.0291221,1.38367,4.95131,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
2026-03-25T02:29:33,L2,13,5453.21,1.38571,1.33468,0.02807,0.08478,0.9112,0.14525,0.09505,1.17392,3.2919,0.02853,0.0289572,0.00965239,0.0289572,1.38571,4.49435,,,,L2,0.0001,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\training_logs\L2-YOLOV26-asianhornet2\weights\best.pt,E:\Git-Repository\MyAI-Projects\RPi-Vesp-Training2-PT-GPU-WIN\datasets\Detection-Asian-hornet.v2.yolo\data.yaml,4,"(512, 512)",YOLO26 baseline detect training Full
